Period;Period Sold;Code-Licensor;Name Licensor;CC;Label;LC;Artist;Title;EAN;ISRC;Label Order-Nr;Provider;Shop;Content;Country;Retail Price;Retail Price Currency;Publ.-%;Publ.-min;Publ.a piece;Publ.-EUR;Income;Share %;Share EUR;Sales;Revenue-EUR;Rev.less Publ.EUR
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;DE;0;EUR;0;0;0;0;0,002676035;80;0,002489335;5;0,012446674;0,012446674
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;UY;0;EUR;0;0;0;0;0,002672998;80;0,00248651;6;0,014919059;0,014919059
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;EE;0;EUR;0;0;0;0;0,002654868;80;0,002469645;1;0,002469645;0,002469645
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;GR;0;EUR;0;0;0;0;0,002650918;80;0,00246597;36;0,088774928;0,088774928
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;DE;0;EUR;0;0;0;0;0,002650854;80;0,002465911;2;0,004931821;0,004931821
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;CZ;0;EUR;0;0;0;0;0,002643887;80;0,00245943;7;0,017216008;0,017216008
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;CR;0;EUR;0;0;0;0;0,002643578;80;0,002459142;42;0,103283978;0,103283978
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;HU;0;EUR;0;0;0;0;0,002643238;80;0,002458826;20;0,049176521;0,049176521
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;CH;0;EUR;0;0;0;0;0,002643035;80;0,002458637;64;0,157352781;0,157352781
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;PY;0;EUR;0;0;0;0;0,002635308;80;0,002451449;1;0,002451449;0,002451449
